# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: H:\UTFPR\8Periodo\logRec\05.22\ex1.csv
# Generated on: Wed May 22 19:04:23 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
dec,Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
inc,Input,PIN_H2,1,B1_N1,PIN_H2,,,,,
ssd_saida[27],Output,PIN_G15,7,B7_N0,PIN_G15,,,,,
ssd_saida[26],Output,PIN_D19,7,B7_N0,PIN_D19,,,,,
ssd_saida[25],Output,PIN_C19,7,B7_N0,PIN_C19,,,,,
ssd_saida[24],Output,PIN_B19,7,B7_N0,PIN_B19,,,,,
ssd_saida[23],Output,PIN_A19,7,B7_N0,PIN_A19,,,,,
ssd_saida[22],Output,PIN_F15,7,B7_N0,PIN_F15,,,,,
ssd_saida[21],Output,PIN_B18,7,B7_N0,PIN_B18,,,,,
ssd_saida[20],Output,PIN_F14,7,B7_N0,PIN_F14,,,,,
ssd_saida[19],Output,PIN_B17,7,B7_N1,PIN_B17,,,,,
ssd_saida[18],Output,PIN_A17,7,B7_N1,PIN_A17,,,,,
ssd_saida[17],Output,PIN_E15,7,B7_N0,PIN_E15,,,,,
ssd_saida[16],Output,PIN_B16,7,B7_N1,PIN_B16,,,,,
ssd_saida[15],Output,PIN_A16,7,B7_N1,PIN_A16,,,,,
ssd_saida[14],Output,PIN_D15,7,B7_N0,PIN_D15,,,,,
ssd_saida[13],Output,PIN_A15,7,B7_N1,PIN_A15,,,,,
ssd_saida[12],Output,PIN_E14,7,B7_N1,PIN_E14,,,,,
ssd_saida[11],Output,PIN_B14,7,B7_N1,PIN_B14,,,,,
ssd_saida[10],Output,PIN_A14,7,B7_N1,PIN_A14,,,,,
ssd_saida[9],Output,PIN_C13,7,B7_N1,PIN_C13,,,,,
ssd_saida[8],Output,PIN_B13,7,B7_N1,PIN_B13,,,,,
ssd_saida[7],Output,PIN_A13,7,B7_N1,PIN_A13,,,,,
ssd_saida[6],Output,PIN_F13,7,B7_N1,PIN_F13,,,,,
ssd_saida[5],Output,PIN_F12,7,B7_N1,PIN_F12,,,,,
ssd_saida[4],Output,PIN_G12,7,B7_N1,PIN_G12,,,,,
ssd_saida[3],Output,PIN_H13,7,B7_N1,PIN_H13,,,,,
ssd_saida[2],Output,PIN_H12,7,B7_N1,PIN_H12,,,,,
ssd_saida[1],Output,PIN_F11,7,B7_N1,PIN_F11,,,,,
ssd_saida[0],Output,PIN_E11,7,B7_N1,PIN_E11,,,,,
